country,iso3,g_whoregion,year,age_group,sex,coh,succ,fail,died,lost,tsr,category
Afghanistan,AFG,EMR,2018,0-14,a,10461,10027,,,,96,Children (0-14)
Albania,ALB,EUR,2013,0-14,a,19,18,0,0,1,95,Children (0-14)
Albania,ALB,EUR,2014,0-14,a,21,20,0,0,0,95,Children (0-14)
Albania,ALB,EUR,2015,0-14,a,11,10,0,0,0,91,Children (0-14)
Albania,ALB,EUR,2016,0-14,a,13,11,0,0,1,85,Children (0-14)
Albania,ALB,EUR,2017,0-14,a,14,14,0,0,0,100,Children (0-14)
Albania,ALB,EUR,2018,0-14,a,4,4,0,0,0,100,Children (0-14)
Albania,ALB,EUR,2019,0-14,a,11,11,0,0,0,100,Children (0-14)
Albania,ALB,EUR,2020,0-14,a,3,3,0,0,0,100,Children (0-14)
Albania,ALB,EUR,2021,0-14,a,8,8,0,0,0,100,Children (0-14)
Albania,ALB,EUR,2022,0-14,a,6,6,0,0,0,100,Children (0-14)
Albania,ALB,EUR,2023,0-14,a,8,8,0,0,0,100,Children (0-14)
American Samoa,ASM,WPR,2018,0-14,a,0,0,,,,,Children (0-14)
American Samoa,ASM,WPR,2019,0-14,a,0,0,,,,,Children (0-14)
Andorra,AND,EUR,2013,0-14,a,0,,,,,,Children (0-14)
Andorra,AND,EUR,2014,0-14,a,0,0,0,0,0,,Children (0-14)
Andorra,AND,EUR,2015,0-14,a,0,0,0,0,0,,Children (0-14)
Andorra,AND,EUR,2016,0-14,a,0,0,0,0,0,,Children (0-14)
Andorra,AND,EUR,2017,0-14,a,0,0,0,0,0,,Children (0-14)
Andorra,AND,EUR,2018,0-14,a,0,,,,,,Children (0-14)
Andorra,AND,EUR,2019,0-14,a,0,,,,,,Children (0-14)
Andorra,AND,EUR,2020,0-14,a,0,,,,,,Children (0-14)
Andorra,AND,EUR,2022,0-14,a,0,,,,,,Children (0-14)
Antigua and Barbuda,ATG,AMR,2018,0-14,a,1,1,0,0,0,100,Children (0-14)
Antigua and Barbuda,ATG,AMR,2019,0-14,a,0,0,0,0,0,,Children (0-14)
Antigua and Barbuda,ATG,AMR,2020,0-14,a,0,0,0,0,0,,Children (0-14)
Antigua and Barbuda,ATG,AMR,2021,0-14,a,0,0,0,0,0,,Children (0-14)
Antigua and Barbuda,ATG,AMR,2022,0-14,a,0,0,0,0,0,,Children (0-14)
Antigua and Barbuda,ATG,AMR,2023,0-14,a,0,0,0,0,0,,Children (0-14)
Argentina,ARG,AMR,2013,0-14,a,888,406,1,11,61,46,Children (0-14)
Argentina,ARG,AMR,2014,0-14,a,860,482,0,6,60,56,Children (0-14)
Argentina,ARG,AMR,2015,0-14,a,983,482,0,10,81,49,Children (0-14)
Argentina,ARG,AMR,2016,0-14,a,732,477,1,8,68,65,Children (0-14)
Argentina,ARG,AMR,2017,0-14,a,910,575,0,15,89,63,Children (0-14)
Argentina,ARG,AMR,2018,0-14,a,952,575,4,9,60,60,Children (0-14)
Argentina,ARG,AMR,2019,0-14,a,715,362,2,5,46,51,Children (0-14)
Argentina,ARG,AMR,2020,0-14,a,729,425,0,11,53,58,Children (0-14)
Argentina,ARG,AMR,2021,0-14,a,794,456,0,9,55,57,Children (0-14)
Argentina,ARG,AMR,2022,0-14,a,979,640,0,12,69,65,Children (0-14)
Argentina,ARG,AMR,2023,0-14,a,1134,693,0,15,83,61,Children (0-14)
Armenia,ARM,EUR,2013,0-14,a,37,30,0,0,7,81,Children (0-14)
Armenia,ARM,EUR,2014,0-14,a,33,26,0,1,4,79,Children (0-14)
Armenia,ARM,EUR,2015,0-14,a,23,19,0,0,4,83,Children (0-14)
Armenia,ARM,EUR,2016,0-14,a,19,18,0,0,1,95,Children (0-14)
Armenia,ARM,EUR,2017,0-14,a,19,12,1,0,6,63,Children (0-14)
Armenia,ARM,EUR,2018,0-14,a,37,32,2,0,3,86,Children (0-14)
Armenia,ARM,EUR,2019,0-14,a,29,26,0,0,3,90,Children (0-14)
Armenia,ARM,EUR,2020,0-14,a,21,20,0,1,0,95,Children (0-14)
Armenia,ARM,EUR,2021,0-14,a,18,18,0,0,0,100,Children (0-14)
Armenia,ARM,EUR,2022,0-14,a,17,15,0,0,1,88,Children (0-14)
Armenia,ARM,EUR,2023,0-14,a,27,27,0,0,0,100,Children (0-14)
Aruba,ABW,AMR,2018,0-14,a,0,0,0,0,0,,Children (0-14)
Australia,AUS,WPR,2019,0-14,a,38,30,,,,79,Children (0-14)
Australia,AUS,WPR,2020,0-14,a,31,29,,,,94,Children (0-14)
Australia,AUS,WPR,2021,0-14,a,30,29,,,,97,Children (0-14)
Australia,AUS,WPR,2022,0-14,a,29,25,,,,86,Children (0-14)
Australia,AUS,WPR,2023,0-14,a,43,23,,,,53,Children (0-14)
Austria,AUT,EUR,2013,0-14,a,23,21,0,0,2,91,Children (0-14)
Austria,AUT,EUR,2014,0-14,a,14,12,0,0,0,86,Children (0-14)
Austria,AUT,EUR,2015,0-14,a,19,14,0,1,0,74,Children (0-14)
Austria,AUT,EUR,2016,0-14,a,29,26,0,0,0,90,Children (0-14)
Austria,AUT,EUR,2017,0-14,a,21,18,0,0,0,86,Children (0-14)
Austria,AUT,EUR,2018,0-14,a,24,20,0,0,0,83,Children (0-14)
Austria,AUT,EUR,2019,0-14,a,22,19,0,0,0,86,Children (0-14)
Austria,AUT,EUR,2020,0-14,a,12,10,0,1,0,83,Children (0-14)
Austria,AUT,EUR,2021,0-14,a,13,9,0,0,1,69,Children (0-14)
Austria,AUT,EUR,2022,0-14,a,12,12,0,0,0,100,Children (0-14)
Austria,AUT,EUR,2023,0-14,a,12,9,0,0,3,75,Children (0-14)
Azerbaijan,AZE,EUR,2022,0-14,a,110,75,12,0,10,68,Children (0-14)
Azerbaijan,AZE,EUR,2022,a,f,982,788,62,25,86,80,Female (All Ages)
Azerbaijan,AZE,EUR,2022,a,m,2624,2169,151,135,155,83,Male (All Ages)
Azerbaijan,AZE,EUR,2023,0-14,a,139,113,12,,5,81,Children (0-14)
Azerbaijan,AZE,EUR,2023,a,f,1252,1036,122,28,56,83,Female (All Ages)
Azerbaijan,AZE,EUR,2023,a,m,1625,1372,49,106,89,84,Male (All Ages)
Bahamas,BHS,AMR,2018,0-14,a,5,5,0,0,0,100,Children (0-14)
Bahamas,BHS,AMR,2019,0-14,a,6,6,0,0,0,100,Children (0-14)
Bahamas,BHS,AMR,2020,0-14,a,0,,,,,,Children (0-14)
Bahamas,BHS,AMR,2021,0-14,a,2,2,0,0,0,100,Children (0-14)
Bahamas,BHS,AMR,2022,0-14,a,3,3,0,0,0,100,Children (0-14)
Bahamas,BHS,AMR,2023,0-14,a,2,2,0,0,0,100,Children (0-14)
Bahrain,BHR,EMR,2018,0-14,a,0,0,,,,,Children (0-14)
Bahrain,BHR,EMR,2019,0-14,a,3,2,,,,67,Children (0-14)
Bahrain,BHR,EMR,2020,0-14,a,0,0,,,,,Children (0-14)
Bahrain,BHR,EMR,2021,0-14,a,1,1,,,,100,Children (0-14)
Bahrain,BHR,EMR,2023,0-14,a,5,5,,,,100,Children (0-14)
Bangladesh,BGD,SEA,2018,0-14,a,11299,10947,,,,97,Children (0-14)
Bangladesh,BGD,SEA,2019,0-14,a,12307,11882,,,,97,Children (0-14)
Bangladesh,BGD,SEA,2019,a,f,126193,120832,259,2272,691,96,Female (All Ages)
